DOCUMENT_CLINICAL_NM,STRUCTURED_NOTE_SECTION_DESC,STRUCTURED_NOTE_LINE_DESC,STRUCTURED_RESULT_TYPE_DESC,count
Distress Screening,Distress Screening,Religious and Spiritual Concerns,Religious and Spiritual Concerns,16127
Distress Screening,Religious and Spiritual Concerns,Date\Time Correction,Religious and Spiritual Concerns,38
EHC-Spiritual Health Pastoral Care,Advance Directives,Date\Time Correction,Spiritual Health Advance Directives,2
EHC-Spiritual Health Pastoral Care,Advance Directives Pastoral Care,Date\Time Correction,Spiritual Health Advance Directives,13
EHC-Spiritual Health Pastoral Care,Chaplain,Date\Time Correction,Spiritual Health Clinician Seeing Pt,259
EHC-Spiritual Health Pastoral Care,Chaplian Role,Date\Time Correction,Spiritual Health Clinician Role,244
EHC-Spiritual Health Pastoral Care,Clinician Facility,Date\Time Correction,Spiritual Health Clinician Facility,15
EHC-Spiritual Health Pastoral Care,Clinician Role,Date\Time Correction,Spiritual Health Clinician Role,15
EHC-Spiritual Health Pastoral Care,Clinician Seeing Pt,Date\Time Correction,Spiritual Health Clinician Seeing Pt,16
EHC-Spiritual Health Pastoral Care,Code Outcome Patoral Care,Date\Time Correction,Code Outcome Patoral Care,2
EHC-Spiritual Health Pastoral Care,Code Pastoral Care,Date\Time Correction,Code Pastoral Care,1
EHC-Spiritual Health Pastoral Care,Comments Pastoral Care,Date\Time Correction,Comments Pastoral Care,2
EHC-Spiritual Health Pastoral Care,Communion Pastoral Care,Date\Time Correction,Communion Pastoral Care,24
EHC-Spiritual Health Pastoral Care,Consult Context,Date\Time Correction,Spiritual Health Consult Context,16
EHC-Spiritual Health Pastoral Care,Consult Status,Date\Time Correction,Spiritual Health Consult Status,15
EHC-Spiritual Health Pastoral Care,Consult Type,Date\Time Correction,Spiritual Health Consult Type,15
EHC-Spiritual Health Pastoral Care,Context for Pastoral Visit,Date\Time Correction,Spiritual Health Consult Context,230
EHC-Spiritual Health Pastoral Care,Denomination Pastoral Care,Date\Time Correction,Denomination Pastoral Care,24
EHC-Spiritual Health Pastoral Care,Distress,Date\Time Correction,Spiritual Health Distress,3
EHC-Spiritual Health Pastoral Care,Dying Process/Death Pastoral Care,Date\Time Correction,Dying Process/Death Pastoral Care,5
EHC-Spiritual Health Pastoral Care,EHC Pastoral-Spiritual Care Response,Date\Time Correction,Spiritual Health Pastoral Care Form,259
EHC-Spiritual Health Pastoral Care,EHC Pastoral-Spiritual Care Response,EHC Pastoral-Spiritual Care Response,Spiritual Health Pastoral Care Form,139644
